10,f-jian.avi,f-sao.wav,gc,si,143,268,107,178,201,335,2,2,6
9,f-ji.avi,f-ji.wav,gc,sc,118,164,89,148,123,205,2,2,6
10,f-jian.avi,f-sao.wav,gc,si,143,268,107,178,201,335,2,2,6
2,m-yao.avi,m-yao.wav,gc,sc,193,166,145,241,125,208,1,1,6
1,m-an.avi,m-an.wav,gc,sc,152,142,114,190,107,178,1,1,6
2,m-bai.avi,m-bai.wav,gc,sc,106,178,80,133,134,223,1,1,6
5,m-tui.avi,m-ding.wav,gc,si,189,128,141,236,96,160,1,1,6
7,f-ti.avi,f-ti.wav,gc,sc,114,105,86,143,79,131,2,2,6
12,f-ning.avi,f-ning.wav,gc,sc,93,223,70,116,167,279,2,2,6
10,m-jian.avi,m-jian.wav,gc,sc,143,289,107,179,217,361,1,1,6
4,m-ca.avi,m-ca.wav,gc,sc,121,171,91,151,128,214,1,1,6
5,m-tui.avi,m-tui.wav,gc,sc,189,220,142,236,165,275,1,1,6
5,f-ding.avi,f-ding.wav,gc,sc,144,128,108,180,96,160,2,2,6
14,f-qie.avi,f-qie.wav,gc,sc,253,230,190,316,173,288,2,2,6
11,f-jiao.avi,f-shan.wav,gc,si,242,263,181,302,197,328,2,2,6
4,m-reng.avi,m-reng.wav,gc,sc,139,132,104,174,99,165,1,1,6
14,f-pen.avi,f-pen.wav,gc,sc,196,119,147,245,89,149,2,2,6
10,f-sao.avi,f-sao.wav,gc,sc,246,268,185,308,201,335,2,2,6
7,f-feng.avi,f-feng.wav,gc,sc,274,263,206,343,197,329,2,2,6
2,f-yao.avi,f-bai.wav,gc,si,193,178,144,241,133,222,2,2,6
11,m-shan.avi,m-shan.wav,gc,sc,90,263,68,113,197,329,1,1,6
1,m-yun.avi,m-yun.wav,gc,sc,317,165,238,396,124,206,1,1,6
11,m-jiao.avi,m-jiao.wav,gc,sc,242,236,182,303,177,295,1,1,6
9,f-si.avi,f-si.wav,gc,sc,170,122,128,213,92,153,2,2,6
9,m-ji.avi,m-si.wav,gc,si,118,122,88,147,91,152,1,1,6
